"","Area","Year","Week","State","Location","Total_Kes","Duration_of_Outbreak_in_day","Wind_mean_weekly","Rainfall_mm_mean_weekly","Humidity_mean_weekly","Solar_Radiation_Mjm2_mean_weekly","Area_Population"
"3329","Petaling",2015,9,"SELANGOR","Seksyen_U3_Pangsapuri_Daisy_C_:_Blok_9,13",60,44,73.9571428571429,5.68571428571429,1.12857142857143,0,1765495
"3330","Petaling",2015,9,"SELANGOR","Bl_Pju_8_Apt_Flora_Damansara_2_Blok_C,F",168,44,73.9571428571429,5.68571428571429,1.12857142857143,0,1765495
"3331","Petaling",2015,4,"SELANGOR","Taman_Puncak_Jalil_2__Jln_Puj_2,1_,_2,18_",107,88,70.6714285714286,4.51428571428571,0.985714285714286,0,1765495
"3332","Petaling",2015,10,"SELANGOR","Seksyen_27__Flat_C_:_Blok_31_,_36_",157,38,64.8571428571429,15.8857142857143,1.15714285714286,0,1765495
"3333","Petaling",2015,17,"SELANGOR","Seksyen_U6_Taman_Subang_Baru",1,59,1.22857142857143,18.8857142857143,78.7714285714286,0,1765495
"3334","Petaling",2015,4,"SELANGOR","Seksyen_6_Teres_A_:_Jln_6,1A_,_6,1J",103,87,70.6714285714286,4.51428571428571,0.985714285714286,0,1765495
"3335","Petaling",2015,9,"SELANGOR","Usj_17",1,42,73.9571428571429,5.68571428571429,1.12857142857143,0,1765495
"3336","Petaling",2015,4,"SELANGOR","Du_Ss_21__3_",111,84,70.6714285714286,4.51428571428571,0.985714285714286,0,1765495
"3337","Petaling",2015,11,"SELANGOR","Seksyen_24__Flat_B_:_Blok_10_,_21_",88,65,12.8428571428571,14.3428571428571,58.1571428571429,0,1765495
"3338","Petaling",2015,13,"SELANGOR","Seksyen_Flat_A_:_Blok_1,12,_Blok_38,43",22,241,1,21.6285714285714,72.7142857142857,0,1765495
"3339","Petaling",2015,9,"SELANGOR","Ss_14,7",168,41,73.9571428571429,5.68571428571429,1.12857142857143,0,1765495
"3340","Petaling",2015,11,"SELANGOR","Usj_6,5_,_Usj_6,7",80,63,12.8428571428571,14.3428571428571,58.1571428571429,0,1765495
"3341","Petaling",2015,4,"SELANGOR","Kd_Pju_1A_Pprt_A_:_Blok_A,B,C",159,83,70.6714285714286,4.51428571428571,0.985714285714286,0,1765495
"3342","Petaling",2015,10,"SELANGOR","Seksyen_7_Teres_J_:_Jln_7,63_,_7,69A_,_Aquavilla_Townhouse",1,36,64.8571428571429,15.8857142857143,1.15714285714286,0,1765495
"3343","Petaling",2015,5,"SELANGOR","Kd_Pju_1A_Apt_Kelana_Idaman",157,31,72.0142857142857,8.51428571428571,1.11428571428571,0,1765495
"3344","Petaling",2015,5,"SELANGOR","Usj_1,2",146,31,72.0142857142857,8.51428571428571,1.11428571428571,0,1765495
"3345","Petaling",2015,4,"SELANGOR","Taman_Lestari_Putra_3",148,82,70.6714285714286,4.51428571428571,0.985714285714286,0,1765495
"3346","Petaling",2015,10,"SELANGOR","Du_Ss_23__4_",146,36,64.8571428571429,15.8857142857143,1.15714285714286,0,1765495
